Erstellt als neuer Datensatz;
nm;A
800,0;0,0037
799,0;0,0037
798,0;0,0037
797,0;0,0038
796,0;0,0038
795,0;0,0037
794,0;0,0037
793,0;0,0038
792,0;0,0038
791,0;0,0038
790,0;0,0039
789,0;0,0038
788,0;0,0039
787,0;0,0039
786,0;0,0038
785,0;0,0039
784,0;0,0039
783,0;0,0039
782,0;0,0039
781,0;0,0039
780,0;0,0040
779,0;0,0040
778,0;0,0040
777,0;0,0040
776,0;0,0040
775,0;0,0041
774,0;0,0041
773,0;0,0041
772,0;0,0041
771,0;0,0041
770,0;0,0041
769,0;0,0041
768,0;0,0041
767,0;0,0042
766,0;0,0042
765,0;0,0042
764,0;0,0042
763,0;0,0042
762,0;0,0043
761,0;0,0043
760,0;0,0043
759,0;0,0043
758,0;0,0043
757,0;0,0043
756,0;0,0043
755,0;0,0044
754,0;0,0044
753,0;0,0044
752,0;0,0044
751,0;0,0044
750,0;0,0045
749,0;0,0045
748,0;0,0046
747,0;0,0046
746,0;0,0046
745,0;0,0047
744,0;0,0048
743,0;0,0048
742,0;0,0049
741,0;0,0050
740,0;0,0050
739,0;0,0051
738,0;0,0052
737,0;0,0053
736,0;0,0054
735,0;0,0055
734,0;0,0056
733,0;0,0058
732,0;0,0059
731,0;0,0061
730,0;0,0062
729,0;0,0065
728,0;0,0066
727,0;0,0068
726,0;0,0070
725,0;0,0071
724,0;0,0074
723,0;0,0077
722,0;0,0080
721,0;0,0083
720,0;0,0087
719,0;0,0090
718,0;0,0094
717,0;0,0099
716,0;0,0104
715,0;0,0110
714,0;0,0116
713,0;0,0124
712,0;0,0132
711,0;0,0141
710,0;0,0151
709,0;0,0162
708,0;0,0175
707,0;0,0190
706,0;0,0206
705,0;0,0224
704,0;0,0245
703,0;0,0270
702,0;0,0297
701,0;0,0328
700,0;0,0363
699,0;0,0402
698,0;0,0447
697,0;0,0498
696,0;0,0555
695,0;0,0618
694,0;0,0686
693,0;0,0763
692,0;0,0847
691,0;0,0938
690,0;0,1037
689,0;0,1143
688,0;0,1259
687,0;0,1383
686,0;0,1516
685,0;0,1658
684,0;0,1807
683,0;0,1968
682,0;0,2137
681,0;0,2314
680,0;0,2498
679,0;0,2686
678,0;0,2877
677,0;0,3067
676,0;0,3255
675,0;0,3440
674,0;0,3614
673,0;0,3776
672,0;0,3923
671,0;0,4054
670,0;0,4168
669,0;0,4261
668,0;0,4334
667,0;0,4389
666,0;0,4425
665,0;0,4445
664,0;0,4444
663,0;0,4429
662,0;0,4404
661,0;0,4369
660,0;0,4326
659,0;0,4277
658,0;0,4224
657,0;0,4167
656,0;0,4106
655,0;0,4041
654,0;0,3975
653,0;0,3907
652,0;0,3834
651,0;0,3760
650,0;0,3684
649,0;0,3608
648,0;0,3528
647,0;0,3447
646,0;0,3366
645,0;0,3284
644,0;0,3203
643,0;0,3122
642,0;0,3044
641,0;0,2969
640,0;0,2898
639,0;0,2831
638,0;0,2767
637,0;0,2707
636,0;0,2650
635,0;0,2596
634,0;0,2547
633,0;0,2500
632,0;0,2458
631,0;0,2420
630,0;0,2387
629,0;0,2358
628,0;0,2333
627,0;0,2313
626,0;0,2295
625,0;0,2281
624,0;0,2268
623,0;0,2258
622,0;0,2250
621,0;0,2244
620,0;0,2238
619,0;0,2231
618,0;0,2225
617,0;0,2218
616,0;0,2210
615,0;0,2200
614,0;0,2188
613,0;0,2174
612,0;0,2158
611,0;0,2137
610,0;0,2114
609,0;0,2088
608,0;0,2059
607,0;0,2026
606,0;0,1989
605,0;0,1949
604,0;0,1906
603,0;0,1861
602,0;0,1815
601,0;0,1765
600,0;0,1714
599,0;0,1662
598,0;0,1609
597,0;0,1558
596,0;0,1508
595,0;0,1459
594,0;0,1413
593,0;0,1367
592,0;0,1322
591,0;0,1279
590,0;0,1238
589,0;0,1198
588,0;0,1159
587,0;0,1122
586,0;0,1085
585,0;0,1050
584,0;0,1017
583,0;0,0984
582,0;0,0953
581,0;0,0922
580,0;0,0894
579,0;0,0867
