Erstellt als neuer Datensatz;
578,0;0,0840
577,0;0,0816
576,0;0,0791
575,0;0,0769
574,0;0,0747
573,0;0,0725
572,0;0,0705
571,0;0,0685
570,0;0,0666
569,0;0,0647
568,0;0,0629
567,0;0,0612
566,0;0,0595
565,0;0,0578
564,0;0,0562
563,0;0,0547
562,0;0,0532
561,0;0,0517
560,0;0,0503
559,0;0,0489
558,0;0,0475
557,0;0,0462
556,0;0,0449
555,0;0,0436
554,0;0,0424
553,0;0,0412
552,0;0,0400
551,0;0,0388
550,0;0,0377
549,0;0,0366
548,0;0,0355
547,0;0,0345
546,0;0,0334
545,0;0,0325
544,0;0,0315
543,0;0,0307
542,0;0,0298
541,0;0,0290
540,0;0,0282
539,0;0,0275
538,0;0,0268
537,0;0,0262
536,0;0,0255
535,0;0,0250
534,0;0,0244
533,0;0,0239
532,0;0,0233
531,0;0,0228
530,0;0,0224
529,0;0,0221
528,0;0,0218
527,0;0,0215
526,0;0,0211
525,0;0,0209
524,0;0,0206
523,0;0,0204
522,0;0,0203
521,0;0,0201
520,0;0,0200
519,0;0,0199
518,0;0,0198
517,0;0,0198
516,0;0,0197
515,0;0,0195
514,0;0,0194
513,0;0,0194
512,0;0,0195
511,0;0,0195
510,0;0,0195
509,0;0,0195
508,0;0,0195
507,0;0,0195
506,0;0,0195
505,0;0,0195
504,0;0,0195
503,0;0,0195
502,0;0,0195
501,0;0,0193
500,0;0,0193
499,0;0,0193
498,0;0,0192
497,0;0,0191
496,0;0,0190
495,0;0,0189
494,0;0,0186
493,0;0,0185
492,0;0,0184
491,0;0,0182
490,0;0,0180
489,0;0,0178
488,0;0,0176
487,0;0,0174
486,0;0,0172
485,0;0,0170
484,0;0,0167
483,0;0,0164
482,0;0,0162
481,0;0,0160
480,0;0,0158
479,0;0,0154
478,0;0,0152
477,0;0,0150
476,0;0,0148
475,0;0,0145
474,0;0,0143
473,0;0,0140
472,0;0,0138
471,0;0,0135
470,0;0,0133
469,0;0,0131
468,0;0,0128
467,0;0,0125
466,0;0,0123
465,0;0,0121
464,0;0,0119
463,0;0,0117
462,0;0,0115
461,0;0,0112
460,0;0,0110
459,0;0,0108
458,0;0,0106
457,0;0,0104
456,0;0,0101
455,0;0,0099
454,0;0,0097
453,0;0,0095
452,0;0,0092
451,0;0,0090
450,0;0,0089
449,0;0,0087
448,0;0,0085
447,0;0,0083
446,0;0,0081
445,0;0,0079
444,0;0,0077
443,0;0,0075
442,0;0,0073
441,0;0,0071
440,0;0,0070
439,0;0,0068
438,0;0,0066
437,0;0,0064
436,0;0,0062
435,0;0,0061
434,0;0,0059
433,0;0,0057
432,0;0,0056
431,0;0,0055
430,0;0,0054
429,0;0,0053
428,0;0,0051
427,0;0,0050
426,0;0,0050
425,0;0,0048
424,0;0,0046
423,0;0,0046
422,0;0,0045
421,0;0,0045
420,0;0,0045
419,0;0,0045
418,0;0,0045
417,0;0,0044
416,0;0,0044
415,0;0,0044
414,0;0,0044
413,0;0,0045
412,0;0,0046
411,0;0,0048
410,0;0,0049
409,0;0,0050
408,0;0,0053
407,0;0,0055
406,0;0,0057
405,0;0,0059
404,0;0,0062
403,0;0,0065
402,0;0,0069
401,0;0,0072
400,0;0,0073
399,0;0,0075
398,0;0,0076
397,0;0,0077
396,0;0,0080
395,0;0,0081
394,0;0,0079
393,0;0,0083
392,0;0,0081
391,0;0,0077
390,0;0,0075
389,0;0,0075
388,0;0,0076
387,0;0,0077
386,0;0,0073
385,0;0,0069
384,0;0,0068
383,0;0,0069
382,0;0,0067
381,0;0,0068
380,0;0,0070
379,0;0,0069
378,0;0,0064
377,0;0,0067
376,0;0,0065
375,0;0,0065
374,0;0,0067
373,0;0,0062
372,0;0,0062
371,0;0,0062
370,0;0,0062
369,0;0,0060
368,0;0,0051
367,0;0,0052
366,0;0,0054
365,0;0,0054
364,0;0,0053
363,0;0,0056
362,0;0,0053
361,0;0,0053
360,0;0,0055
359,0;0,0057
358,0;0,0061
357,0;0,0060
356,0;0,0061
355,0;0,0062
354,0;0,0064
353,0;0,0069
352,0;0,0073
351,0;0,0075
350,0;0,0078
349,0;0,0081
348,0;0,0085
347,0;0,0093
346,0;0,0098
345,0;0,0104
344,0;0,0111
343,0;0,0119
342,0;0,0126
341,0;0,0138
340,0;0,0151
339,0;0,0166
338,0;0,0183
337,0;0,0202
336,0;0,0224
335,0;0,0246
334,0;0,0268
333,0;0,0291
332,0;0,0312
331,0;0,0331
330,0;0,0349
329,0;0,0364
328,0;0,0375
327,0;0,0383
326,0;0,0387
325,0;0,0391
324,0;0,0393
323,0;0,0395
322,0;0,0397
321,0;0,0399
320,0;0,0403
319,0;0,0408
318,0;0,0413
317,0;0,0419
316,0;0,0428
315,0;0,0438
314,0;0,0448
313,0;0,0460
312,0;0,0479
311,0;0,0503
310,0;0,0535
309,0;0,0577
308,0;0,0630
307,0;0,0693
306,0;0,0768
305,0;0,0854
304,0;0,0950
303,0;0,1055
302,0;0,1167
301,0;0,1282
300,0;0,1406
299,0;0,1525
298,0;0,1640
297,0;0,1748
296,0;0,1844
295,0;0,1918
294,0;0,1969
293,0;0,1996
292,0;0,2000
291,0;0,1976
290,0;0,1924
289,0;0,1849
288,0;0,1761
287,0;0,1665
286,0;0,1566
285,0;0,1468
284,0;0,1379
283,0;0,1293
282,0;0,1212
281,0;0,1136
280,0;0,1071
279,0;0,1015
278,0;0,0963
277,0;0,0908
276,0;0,0851
275,0;0,0801
274,0;0,0760
273,0;0,0737
272,0;0,0721
271,0;0,0709
270,0;0,0731
269,0;0,0724
268,0;0,0718
267,0;0,0705
266,0;0,0787
265,0;0,1352
264,0;0,0761
263,0;0,0909
262,0;0,2330
261,0;0,4513
260,0;0,9205
259,0;0,9327
258,0;0,4757
257,0;-0,0646
256,0;-0,0591
255,0;-0,0616
254,0;-0,0578
253,0;-0,0425
252,0;-0,0512
251,0;-0,0630
250,0;-0,0633
249,0;-0,0624
248,0;-0,0647
247,0;-0,0687
246,0;-0,0691
245,0;-0,0629
244,0;-0,0510
243,0;-0,0444
242,0;-0,0458
241,0;-0,0473
240,0;-0,0428
239,0;-0,0291
238,0;-0,0540
237,0;-0,0590
236,0;-0,0613
235,0;-0,0535
234,0;-0,0197
233,0;-0,0345
232,0;-0,0561
231,0;-0,0586
230,0;-0,0430
229,0;-0,0250
228,0;-0,0561
227,0;-0,0785
226,0;-0,0722
225,0;-0,0564
224,0;-0,0550
223,0;-0,0477
222,0;-0,0385
221,0;-0,0425
220,0;-0,0438
219,0;-0,0331
218,0;-0,0335
217,0;-0,0463
216,0;-0,0423
215,0;-0,0403
214,0;-0,0502
213,0;-0,0577
212,0;-0,0445
211,0;-0,0277
210,0;-0,0155
209,0;-0,0220
208,0;-0,0685
207,0;-0,0246
206,0;-0,0291
205,0;-0,0278
204,0;-0,0196
203,0;-0,0532
202,0;-0,0419
201,0;-0,0253
200,0;-0,0215
