Erstellt als neuer Datensatz;
nm;A
447,0;0,0064
446,0;0,0064
445,0;0,0062
444,0;0,0060
443,0;0,0060
442,0;0,0059
441,0;0,0058
440,0;0,0057
439,0;0,0056
438,0;0,0055
437,0;0,0054
436,0;0,0053
435,0;0,0053
434,0;0,0051
433,0;0,0050
432,0;0,0050
431,0;0,0049
430,0;0,0047
429,0;0,0048
428,0;0,0046
427,0;0,0046
426,0;0,0045
425,0;0,0044
424,0;0,0044
423,0;0,0044
422,0;0,0043
421,0;0,0043
420,0;0,0043
419,0;0,0041
418,0;0,0042
417,0;0,0042
416,0;0,0042
415,0;0,0042
414,0;0,0042
413,0;0,0042
412,0;0,0042
411,0;0,0043
410,0;0,0044
409,0;0,0044
408,0;0,0046
407,0;0,0046
406,0;0,0047
405,0;0,0047
404,0;0,0048
403,0;0,0051
402,0;0,0052
401,0;0,0054
400,0;0,0055
399,0;0,0051
398,0;0,0054
397,0;0,0055
396,0;0,0056
395,0;0,0056
394,0;0,0055
393,0;0,0055
392,0;0,0052
391,0;0,0053
390,0;0,0055
389,0;0,0054
388,0;0,0051
387,0;0,0052
386,0;0,0051
385,0;0,0050
384,0;0,0049
383,0;0,0050
382,0;0,0048
381,0;0,0049
380,0;0,0049
379,0;0,0048
378,0;0,0048
377,0;0,0052
376,0;0,0052
375,0;0,0050
374,0;0,0048
373,0;0,0047
372,0;0,0043
371,0;0,0043
370,0;0,0044
369,0;0,0041
368,0;0,0036
367,0;0,0037
366,0;0,0038
365,0;0,0037
364,0;0,0037
363,0;0,0037
362,0;0,0034
361,0;0,0034
360,0;0,0035
359,0;0,0035
358,0;0,0034
357,0;0,0036
356,0;0,0035
355,0;0,0035
354,0;0,0036
353,0;0,0038
352,0;0,0039
351,0;0,0040
350,0;0,0042
349,0;0,0044
348,0;0,0044
347,0;0,0046
346,0;0,0048
345,0;0,0052
344,0;0,0055
343,0;0,0057
342,0;0,0060
341,0;0,0067
340,0;0,0073
339,0;0,0079
338,0;0,0086
337,0;0,0094
336,0;0,0105
335,0;0,0116
334,0;0,0126
333,0;0,0135
332,0;0,0145
331,0;0,0153
330,0;0,0161
329,0;0,0168
328,0;0,0172
327,0;0,0176
326,0;0,0177
325,0;0,0177
324,0;0,0177
323,0;0,0176
322,0;0,0176
321,0;0,0175
320,0;0,0176
319,0;0,0177
318,0;0,0178
317,0;0,0179
316,0;0,0180
315,0;0,0184
314,0;0,0187
313,0;0,0191
312,0;0,0198
311,0;0,0208
310,0;0,0222
309,0;0,0240
308,0;0,0263
307,0;0,0292
306,0;0,0325
305,0;0,0364
304,0;0,0408
303,0;0,0457
302,0;0,0508
301,0;0,0559
300,0;0,0617
299,0;0,0671
298,0;0,0724
297,0;0,0772
296,0;0,0813
295,0;0,0844
294,0;0,0864
293,0;0,0871
292,0;0,0866
291,0;0,0849
290,0;0,0817
289,0;0,0773
288,0;0,0723
287,0;0,0670
286,0;0,0615
285,0;0,0562
284,0;0,0516
283,0;0,0473
282,0;0,0433
281,0;0,0399
280,0;0,0371
279,0;0,0353
278,0;0,0334
277,0;0,0316
276,0;0,0297
275,0;0,0273
274,0;0,0260
273,0;0,0258
272,0;0,0264
271,0;0,0276
270,0;0,0309
269,0;0,0320
268,0;0,0344
267,0;0,0349
266,0;0,0460
265,0;0,1391
264,0;0,1532
263,0;0,1308
262,0;0,1561
261,0;0,2373
260,0;0,2559
259,0;0,6908
258,0;0,4740
257,0;-0,0600
256,0;-0,0606
255,0;-0,0715
254,0;-0,0418
253,0;-0,0720
252,0;-0,0651
251,0;-0,0496
250,0;-0,0525
249,0;-0,0755
248,0;-0,0487
247,0;-0,0507
246,0;-0,0469
245,0;-0,0355
244,0;-0,0644
243,0;-0,0486
242,0;-0,0586
241,0;-0,0623
240,0;-0,0515
239,0;-0,0395
238,0;-0,0423
237,0;-0,0508
236,0;-0,0698
235,0;-0,0818
234,0;-0,0646
233,0;-0,0711
232,0;-0,0702
231,0;-0,0624
230,0;-0,0577
229,0;-0,0655
228,0;-0,0556
227,0;-0,0582
226,0;-0,0578
225,0;-0,0511
224,0;-0,0413
223,0;-0,0409
222,0;-0,0458
221,0;-0,0617
220,0;-0,0685
219,0;-0,0556
218,0;-0,0514
217,0;-0,0448
216,0;-0,0315
215,0;-0,0288
214,0;-0,0392
213,0;-0,0310
212,0;-0,0369
211,0;-0,0291
210,0;-0,0272
209,0;-0,0391
208,0;-0,0548
207,0;-0,0586
206,0;-0,0477
205,0;-0,0341
204,0;-0,0287
203,0;-0,0379
202,0;-0,0349
201,0;-0,0445
200,0;-0,0394
